run_id,num_tasks,checkpoint_step,prompt_source,prompt_length,n_samples,n_samples_prior,n_prompts,dist/ed_vs_baseline_memorising,dist/ed_vs_baseline_generalising,dist/sw_vs_baseline_memorising,dist/sw_vs_baseline_generalising,dist/ed_vs_baseline_misspecified,dist/sw_vs_baseline_misspecified,data_memorising/model_mse,data_memorising/baseline_memorising_mse,data_memorising/baseline_generalising_mse,data_memorising/delta_vs_baseline_memorising,data_memorising/delta_vs_baseline_generalising,data_memorising/baseline_misspecified_mse,data_memorising/delta_vs_baseline_misspecified,data_generalising/model_mse,data_generalising/baseline_memorising_mse,data_generalising/baseline_generalising_mse,data_generalising/delta_vs_baseline_memorising,data_generalising/delta_vs_baseline_generalising,data_generalising/baseline_misspecified_mse,data_generalising/delta_vs_baseline_misspecified,data_random/model_mse,data_random/baseline_memorising_mse,data_random/baseline_generalising_mse,data_random/delta_vs_baseline_memorising,data_random/delta_vs_baseline_generalising,data_random/baseline_misspecified_mse,data_random/delta_vs_baseline_misspecified
vq5nezmu,1,150000,,0,0,3000,0,0.1190360188484191,4.321173684355326,0.0590627872599897,1.1749787993976235,4.413328009640562,1.1719325929265747,0.0319645442068576,0.0310280974954366,0.1573985368013382,0.0008347990806214,0.1231881976127624,0.1554978936910629,0.121308758854866,2.436734914779663,2.3042280673980713,0.1362952440977096,0.0082422196865081,2.3073601722717285,0.1400273442268371,2.3166956901550293,1.715709924697876,1.559746265411377,0.2075925916433334,0.0103771677240729,1.7052903175354004,0.2054128348827362,1.6989060640335083
vq5nezmu,1,150000,memorising,8,100,0,50,0.1231562489271164,1.4723656117864363,0.0541325793203588,0.4405747039130381,1.429642652273178,0.433653502359893,0.0319645442068576,0.0310280974954366,0.1573985368013382,0.0008347990806214,0.1231881976127624,0.1554978936910629,0.121308758854866,2.436734914779663,2.3042280673980713,0.1362952440977096,0.0082422196865081,2.3073601722717285,0.1400273442268371,2.3166956901550293,1.715709924697876,1.559746265411377,0.2075925916433334,0.0103771677240729,1.7052903175354004,0.2054128348827362,1.6989060640335083
vq5nezmu,1,150000,generalising,8,100,0,50,1.0181113761663436,5.724600820818556,0.2097161526314413,1.084072916662936,5.833554019927979,1.0846680495225336,0.0319645442068576,0.0310280974954366,0.1573985368013382,0.0008347990806214,0.1231881976127624,0.1554978936910629,0.121308758854866,2.436734914779663,2.3042280673980713,0.1362952440977096,0.0082422196865081,2.3073601722717285,0.1400273442268371,2.3166956901550293,1.715709924697876,1.559746265411377,0.2075925916433334,0.0103771677240729,1.7052903175354004,0.2054128348827362,1.6989060640335083
623j78n1,2,150000,,0,0,3000,0,0.0614954233169555,1.2311487971314985,0.0750311974719785,0.6310754008636422,1.2108799575333764,0.6259118395190301,0.0372407212853431,0.0369553342461586,0.0811998546123504,7.882599311415106e-05,0.0471794344484806,0.0843688696622848,0.0504622384905815,1.2994712591171265,1.2936105728149414,0.1362952440977096,0.1003623455762863,1.1580219268798828,0.1402413249015808,1.1683964729309082,0.5763754844665527,0.5817275047302246,0.2075925916433334,0.1277285516262054,0.5066195130348206,0.2050518989562988,0.5047508478164673
623j78n1,2,150000,memorising,8,100,0,50,0.1237879809737205,1.0859354941624462,0.0540914036692769,0.3826953410905255,1.1050001430511474,0.3667332574441128,0.0372407212853431,0.0369553342461586,0.0811998546123504,7.882599311415106e-05,0.0471794344484806,0.0843688696622848,0.0504622384905815,1.2994712591171265,1.2936105728149414,0.1362952440977096,0.1003623455762863,1.1580219268798828,0.1402413249015808,1.1683964729309082,0.5763754844665527,0.5817275047302246,0.2075925916433334,0.1277285516262054,0.5066195130348206,0.2050518989562988,0.5047508478164673
623j78n1,2,150000,generalising,8,100,0,50,0.9269580534100532,3.510471760698388,0.2273727649871801,0.7697221800702851,3.539526064395905,0.7676946649106182,0.0372407212853431,0.0369553342461586,0.0811998546123504,7.882599311415106e-05,0.0471794344484806,0.0843688696622848,0.0504622384905815,1.2994712591171265,1.2936105728149414,0.1362952440977096,0.1003623455762863,1.1580219268798828,0.1402413249015808,1.1683964729309082,0.5763754844665527,0.5817275047302246,0.2075925916433334,0.1277285516262054,0.5066195130348206,0.2050518989562988,0.5047508478164673
g9aq8lco,4,150000,,0,0,3000,0,0.0319509506225585,0.7390320406234272,0.0744197002511981,0.538263994917766,0.7220375555773493,0.5423324980909028,0.0444582775235176,0.0442780442535877,0.1048147454857826,0.0003011954249814,0.0598354339599609,0.1083602979779243,0.0634521842002868,1.1422979831695557,1.1993228197097778,0.1362952440977096,0.3030634522438049,1.0010513067245483,0.140527456998825,1.012323975563049,0.3903246223926544,0.4606517553329468,0.2075925916433334,0.2740460038185119,0.3044318854808807,0.2054059356451034,0.3030896186828613
g9aq8lco,4,150000,memorising,8,100,0,50,0.1218292608857154,1.2954352508453737,0.0541732416169096,0.4219691812782783,1.3309179997444154,0.4028776889843883,0.0444582775235176,0.0442780442535877,0.1048147454857826,0.0003011954249814,0.0598354339599609,0.1083602979779243,0.0634521842002868,1.1422979831695557,1.1993228197097778,0.1362952440977096,0.3030634522438049,1.0010513067245483,0.140527456998825,1.012323975563049,0.3903246223926544,0.4606517553329468,0.2075925916433334,0.2740460038185119,0.3044318854808807,0.2054059356451034,0.3030896186828613
g9aq8lco,4,150000,generalising,8,100,0,50,1.3688320478796958,3.1896231348659705,0.3111778248561132,0.7344169639444027,3.1716928052902222,0.7246436926114411,0.0444582775235176,0.0442780442535877,0.1048147454857826,0.0003011954249814,0.0598354339599609,0.1083602979779243,0.0634521842002868,1.1422979831695557,1.1993228197097778,0.1362952440977096,0.3030634522438049,1.0010513067245483,0.140527456998825,1.012323975563049,0.3903246223926544,0.4606517553329468,0.2075925916433334,0.2740460038185119,0.3044318854808807,0.2054059356451034,0.3030896186828613
lxbrw4wt,8,150000,,0,0,3000,0,0.0151140689849853,0.3904861060507016,0.0668329805846585,0.4014828031552524,0.392836050609187,0.4093586655721503,0.0567299835383892,0.0560429468750953,0.1244623139500618,0.0016034976579248,0.071720503270626,0.1273437738418579,0.075121484696865,0.9661693572998048,1.1693737506866455,0.1362952440977096,0.4405712485313415,0.8389690518379211,0.1405004113912582,0.8511126637458801,0.4933874309062958,0.6211260557174683,0.2075925916433334,0.4567666053771972,0.3675902187824249,0.2053148299455642,0.3693405985832214
lxbrw4wt,8,150000,memorising,8,100,0,50,0.1245905992388725,1.3133205767278455,0.0549830874177707,0.4186565969733142,1.5123795139789582,0.4443618666287062,0.0567299835383892,0.0560429468750953,0.1244623139500618,0.0016034976579248,0.071720503270626,0.1273437738418579,0.075121484696865,0.9661693572998048,1.1693737506866455,0.1362952440977096,0.4405712485313415,0.8389690518379211,0.1405004113912582,0.8511126637458801,0.4933874309062958,0.6211260557174683,0.2075925916433334,0.4567666053771972,0.3675902187824249,0.2053148299455642,0.3693405985832214
lxbrw4wt,8,150000,generalising,8,100,0,50,1.7802880108356476,2.8212765814114955,0.4622150451498175,0.7166174078112885,2.7856406712532045,0.7087919975214931,0.0567299835383892,0.0560429468750953,0.1244623139500618,0.0016034976579248,0.071720503270626,0.1273437738418579,0.075121484696865,0.9661693572998048,1.1693737506866455,0.1362952440977096,0.4405712485313415,0.8389690518379211,0.1405004113912582,0.8511126637458801,0.4933874309062958,0.6211260557174683,0.2075925916433334,0.4567666053771972,0.3675902187824249,0.2053148299455642,0.3693405985832214
0m4pu40l,16,150000,,0,0,3000,0,0.0096864700317382,0.1551960791158619,0.0584202911286666,0.2538939203231384,0.1582830525997072,0.2609943554161969,0.0613731481134891,0.0584424436092376,0.1189207881689071,0.0031933723948895,0.0572847835719585,0.1214458644390106,0.0605221502482891,0.9867671132087708,0.9424617290496826,0.1362952440977096,0.5068262815475464,0.8590929508209229,0.1385247260332107,0.8742963671684265,0.3683424293994903,0.5649900436401367,0.2075925916433334,0.3608333468437195,0.2272746860980987,0.2061735242605209,0.2282426506280899
0m4pu40l,16,150000,memorising,8,100,0,50,0.1264845263957977,1.3588698950496143,0.0584742427000503,0.4224126704818643,1.442138922214508,0.4235048553409947,0.0613731481134891,0.0584424436092376,0.1189207881689071,0.0031933723948895,0.0572847835719585,0.1214458644390106,0.0605221502482891,0.9867671132087708,0.9424617290496826,0.1362952440977096,0.5068262815475464,0.8590929508209229,0.1385247260332107,0.8742963671684265,0.3683424293994903,0.5649900436401367,0.2075925916433334,0.3608333468437195,0.2272746860980987,0.2061735242605209,0.2282426506280899
0m4pu40l,16,150000,generalising,8,100,0,50,1.7589541208744048,2.43714760679419,0.4348403990455335,0.651989465961195,2.4807880878448487,0.6520614650651783,0.0613731481134891,0.0584424436092376,0.1189207881689071,0.0031933723948895,0.0572847835719585,0.1214458644390106,0.0605221502482891,0.9867671132087708,0.9424617290496826,0.1362952440977096,0.5068262815475464,0.8590929508209229,0.1385247260332107,0.8742963671684265,0.3683424293994903,0.5649900436401367,0.2075925916433334,0.3608333468437195,0.2272746860980987,0.2061735242605209,0.2282426506280899
figmjwgc,32,150000,,0,0,3000,0,0.0096793174743652,0.0708874606147236,0.0632696757616936,0.1839692784111374,0.0689002404657173,0.1905964074293401,0.0761473402380943,0.064143918454647,0.1184149980545044,0.0125204911455512,0.0446163937449455,0.1197085380554199,0.0470454357564449,0.6844530701637268,0.880021333694458,0.1362952440977096,0.4650513827800751,0.5433863401412964,0.1400583088397979,0.5549336671829224,0.2692233622074127,0.5210043787956238,0.2075925916433334,0.398223340511322,0.1390983909368515,0.2062731087207794,0.1392892897129058
figmjwgc,32,150000,memorising,8,100,0,50,0.2510545879602432,1.2588570805254105,0.0840281043560065,0.4072834232998011,1.3420989060401916,0.4100952816031063,0.0761473402380943,0.064143918454647,0.1184149980545044,0.0125204911455512,0.0446163937449455,0.1197085380554199,0.0470454357564449,0.6844530701637268,0.880021333694458,0.1362952440977096,0.4650513827800751,0.5433863401412964,0.1400583088397979,0.5549336671829224,0.2692233622074127,0.5210043787956238,0.2075925916433334,0.398223340511322,0.1390983909368515,0.2062731087207794,0.1392892897129058
figmjwgc,32,150000,generalising,8,100,0,50,2.3105057740211485,2.131533774780762,0.516946999160099,0.6000870025944668,2.161073205471039,0.6015121964178888,0.0761473402380943,0.064143918454647,0.1184149980545044,0.0125204911455512,0.0446163937449455,0.1197085380554199,0.0470454357564449,0.6844530701637268,0.880021333694458,0.1362952440977096,0.4650513827800751,0.5433863401412964,0.1400583088397979,0.5549336671829224,0.2692233622074127,0.5210043787956238,0.2075925916433334,0.398223340511322,0.1390983909368515,0.2062731087207794,0.1392892897129058
9mdtbwhu,64,150000,,0,0,3000,0,0.0200028419494628,0.0673040920275593,0.0959106320666303,0.1824052651171387,0.0576204684790995,0.1717268152246635,0.109657771885395,0.0717615410685539,0.1265888661146164,0.0391822382807731,0.0296297706663608,0.1302361488342285,0.0346399024128913,0.4537720084190368,0.7436005473136902,0.1362952440977096,0.3465471565723419,0.312471479177475,0.138169839978218,0.321027398109436,0.2446886897087097,0.4473331570625305,0.2075925916433334,0.29991015791893,0.0566842146217823,0.2055232524871826,0.0588495880365371
9mdtbwhu,64,150000,memorising,8,100,0,50,0.6156628119945526,0.8366350051023551,0.2076410124806948,0.3390925685028662,0.8985252594947815,0.3419886948946024,0.109657771885395,0.0717615410685539,0.1265888661146164,0.0391822382807731,0.0296297706663608,0.1302361488342285,0.0346399024128913,0.4537720084190368,0.7436005473136902,0.1362952440977096,0.3465471565723419,0.312471479177475,0.138169839978218,0.321027398109436,0.2446886897087097,0.4473331570625305,0.2075925916433334,0.29991015791893,0.0566842146217823,0.2055232524871826,0.0588495880365371
9mdtbwhu,64,150000,generalising,8,100,0,50,2.267243241071701,1.590184941179257,0.5032539714143178,0.4974023573754585,1.5955353498458862,0.4977855353574077,0.109657771885395,0.0717615410685539,0.1265888661146164,0.0391822382807731,0.0296297706663608,0.1302361488342285,0.0346399024128913,0.4537720084190368,0.7436005473136902,0.1362952440977096,0.3465471565723419,0.312471479177475,0.138169839978218,0.321027398109436,0.2446886897087097,0.4473331570625305,0.2075925916433334,0.29991015791893,0.0566842146217823,0.2055232524871826,0.0588495880365371
yxwjc9q6,128,150000,,0,0,3000,0,0.0277009010314941,0.0491484416125982,0.1201801174627559,0.1675344165871888,0.037371546777944,0.1567670414310414,0.1106361895799636,0.0733462050557136,0.127518281340599,0.0355632826685905,0.0264424495398998,0.1286231726408004,0.0310038551688194,0.4259465634822845,0.6724212169647217,0.1362952440977096,0.3954471945762634,0.2854843139648437,0.1392219960689544,0.2947359979152679,0.2651830911636352,0.4322038888931274,0.2075925916433334,0.2708638906478882,0.0452229902148246,0.2061937749385833,0.0481638498604297
yxwjc9q6,128,150000,memorising,8,100,0,50,0.8132166105508805,0.5042186002305746,0.2512915206375231,0.2669389730547241,0.5882416546344758,0.2758717478473105,0.1106361895799636,0.0733462050557136,0.127518281340599,0.0355632826685905,0.0264424495398998,0.1286231726408004,0.0310038551688194,0.4259465634822845,0.6724212169647217,0.1362952440977096,0.3954471945762634,0.2854843139648437,0.1392219960689544,0.2947359979152679,0.2651830911636352,0.4322038888931274,0.2075925916433334,0.2708638906478882,0.0452229902148246,0.2061937749385833,0.0481638498604297
yxwjc9q6,128,150000,generalising,8,100,0,50,1.6569700920581818,1.098385836695755,0.4116779868222571,0.3997057610087322,1.1258945846557618,0.4025096907169527,0.1106361895799636,0.0733462050557136,0.127518281340599,0.0355632826685905,0.0264424495398998,0.1286231726408004,0.0310038551688194,0.4259465634822845,0.6724212169647217,0.1362952440977096,0.3954471945762634,0.2854843139648437,0.1392219960689544,0.2947359979152679,0.2651830911636352,0.4322038888931274,0.2075925916433334,0.2708638906478882,0.0452229902148246,0.2061937749385833,0.0481638498604297
